Date Last Researched,Country/Area,Project Name,Phase Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Installation Type,Status,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Hydrogen,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
2021/09/01,Romania,Pestera Sorgenia wind farm,2,,,50,Onshore,operating,2012,,,,Verbund Wind Power Romania SRL; Compagnia Finanziaria De Benedetti SPA (Cofide),,,45.9852,24.6859,approximate,Pestera,Constanta county,,Dobruja,Eastern Europe,Europe,L100000915020,G100000918586,,,https://www.gem.wiki/Pestera_Sorgenia_wind_farm
2021/09/01,Romania,Pestera wind farm,1,,Pestera Radramo (Phase 2),90,Onshore,operating,2013,,Pestera Wind Farm,,Renovatio Power SRL,,,44.3379,28.0336,approximate,Pestera,Constanta county,,Dobruja,Eastern Europe,Europe,L100000915622,G100000919317,,,https://www.gem.wiki/Pestera_wind_farm
2024/01/13,Romania,Ruginoasa wind farm,--,,,60,Onshore,operating,2024,,Vestas,,DTEK Renewables; Moldova Eolian,,,47.2403,26.8363,approximate,,,,,Eastern Europe,Europe,L100000920700,G100000925502,,,https://www.gem.wiki/Ruginoasa_wind_farm
2021/09/01,Romania,Salbatica wind farm,1,,,70,Onshore,operating,2011,,Enel Green Power,,Enel Green Power SpA,,,45.0251,28.8558,exact,,Tulcea,,,Eastern Europe,Europe,L100000915428,G100000919082,World Resources Institute: WRI1022116,,https://www.gem.wiki/Salbatica_wind_farm
2021/09/01,Romania,Salbatica wind farm,2,,,70,Onshore,operating,2011,,Enel Green Power,,Enel Green Power SpA,,,45.9852,24.6859,approximate,Tulcea,Tulcea County,,Dobruja,Eastern Europe,Europe,L100000915428,G100000919083,World Resources Institute: WRI1022116,,https://www.gem.wiki/Salbatica_wind_farm
2024/01/18,Romania,Sarichioi wind farm,1,,Edp Sarichioi wind farm,33,Onshore,operating,2012,,,,EDPR Renewable Energy Sources of Greece 1 Sole Proprietorship,EDPR Ανανεωσιμες Πηγες Ενεργειας Ελλας 1 Μονοπροσωπη Ανωνυμη Εταιρεια,,45.0073,28.8445,exact,Sarichioi,Tulcea County,,Dobruja,Eastern Europe,Europe,L100000913632,G100000916952,,,https://www.gem.wiki/Sarichioi_wind_farm
2021/09/01,Romania,Silistea wind farm,1,,Silistea 1 wind farm,25,Onshore,operating,2012,,Monsson,,SC Romconstruct Top SRL,,,44.3818,28.171,exact,,Constanța,,,Eastern Europe,Europe,L100000912674,G100000915812,,,https://www.gem.wiki/Silistea_wind_farm
2021/09/01,Romania,Stejaru wind farm,1,,,34,Onshore,operating,2014,,Okoenergie,,EcoEnergia,,,44.1833,24.8833,approximate,,Tulcea,,Dobruja,Eastern Europe,Europe,L100000913730,G100000917066,,,https://www.gem.wiki/Stejaru_wind_farm
2021/09/01,Romania,Targusor-Zephir wind farm,1,,"Zephir-II (balcescu) (Phase 2), Zephir-I (tagusor) (Phase 1), Nicolae Balcescu - Târguşor (Phase 2)",120,Onshore,operating,2012,,Enel,,Enel Green Power SRL (fost ELCOMEX EOL SA),,,44.5245,28.3922,approximate,,,,Dobrogea,Eastern Europe,Europe,L100000915253,G100000919516,,,https://www.gem.wiki/Targusor-Zephir_wind_farm
2023/01/23,Romania,Targusor-Zephir wind farm,2,,"Zephir-II (balcescu) (Phase 2), Zephir-I (tagusor) (Phase 1), Nicolae Balcescu - Târguşor (Phase 2)",59,Onshore,operating,2012,,Enel,,Enel Green Power SRL (fost Târguşor Wind Farm SA),,,44.5245,28.3922,approximate,,,,Dobrogea,Eastern Europe,Europe,L100000915253,G100000918879,,,https://www.gem.wiki/Targusor-Zephir_wind_farm
2021/09/01,Romania,Topliceni wind farm,1,,,10,Onshore,operating,2014,,SC M&M 2008 SRL Ploiesti,,,,,45.4215,26.9549,exact,,Buzău,,,Eastern Europe,Europe,L100000908205,G100000910896,,,https://www.gem.wiki/Topliceni_wind_farm
2021/09/01,Romania,Topolog wind farm,1,,Topolog 3 wind farm,27,Onshore,operating,2009,,Enel,,Enel Green Power Romania SRL,,,44.7203,28.3828,approximate,,Tulcea,,Dobruja,Eastern Europe,Europe,L100000912938,G100000916126,,,https://www.gem.wiki/Topolog_wind_farm
2024/01/12,Romania,Topolog-Dorobanţu wind farm,1,,CEE Topolog-Dorobanţu,84,Onshore,operating,2013,,Land Power,,Public Power Corporation SA,ΔΗΜΟΣΙΑ ΕΠΙΧΕΙΡΗΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΕ,,44.914,28.3318,exact,,Tulcea,,,Eastern Europe,Europe,L100000915572,G100000919256,,,https://www.gem.wiki/Topolog-Dorobanţu_wind_farm
2021/09/01,Romania,Valea Nucarilor wind farm,1,,,70,Onshore,operating,2011,,Enel Green Power,,Enel Green Power Romania SRL,,,45.0451,28.9607,exact,,Tulcea,,,Eastern Europe,Europe,L100000915431,G100000919086,World Resources Institute: WRI1022119,,https://www.gem.wiki/Valea_Nucarilor_wind_farm
2021/09/01,Romania,Ventus Nord-2 wind farm,1,,Cee Ventus Nord 2,69,Onshore,operating,,,Ventus Renew Romania,,Verbund Wind Power Romania SRL,,,45.9852,24.6859,approximate,,,,,Eastern Europe,Europe,L100000915407,G100000919058,,,https://www.gem.wiki/Ventus_Nord-2_wind_farm
2021/09/01,Romania,Vutcani wind farm,1,,,24,Onshore,operating,2012,,Renovatio Power,,EDPR Renewable Energy Sources of Greece 1 Sole Proprietorship,EDPR Ανανεωσιμες Πηγες Ενεργειας Ελλας 1 Μονοπροσωπη Ανωνυμη Εταιρεια,,46.4996,27.9136,exact,,Vaslui,,,Eastern Europe,Europe,L100000912547,G100000915673,,,https://www.gem.wiki/Vutcani_wind_farm
2021/09/01,Romania,Windkraft Sfanta Elena wind farm,1,,,84,Onshore,operating,2013,,,,Windkraft Simonsfeld AG,,,45.7558,21.5522,approximate,Sfanta Elena,Caras Severin county,,Banat,Eastern Europe,Europe,L100000915573,G100000919257,,,https://www.gem.wiki/Windkraft_Sfanta_Elena_wind_farm
2021/05/18,Serbia,Alibunar wind farm,--,,Elicio,42,Onshore,operating,2018,,,,Elicio,,,45.0801,20.9665,approximate,,Alibunar,,Vojvodina,Southern Europe,Europe,L100000914324,G100000917754,,,https://www.gem.wiki/Alibunar_wind_farm
2024/03/07,Serbia,Banat wind farm,4,,,118.5,Onshore,announced,,,,,Emergy; WV International,,,45.0999,20.8091,approximate,,,South Banat District,Vojvodina,Southern Europe,Europe,L100000915852,G100001004332,,,https://www.gem.wiki/Banat_wind_farm
2024/03/07,Serbia,Banat wind farm,5,,,118.5,Onshore,announced,,,,,Emergy; WV International,,,45.0999,20.8091,approximate,,,South Banat District,Vojvodina,Southern Europe,Europe,L100000915852,G100001004333,,,https://www.gem.wiki/Banat_wind_farm
2021/05/18,Serbia,Belo Blato wind farm,1,,,20,Onshore,operating,2009,,,,Green Star,,,45.2186,20.3558,exact,Zrenjanin City,Central Banat Administrative District,,Vojvodina,Southern Europe,Europe,L100000911488,G100000914471,,,https://www.gem.wiki/Belo_Blato_wind_farm
2024/03/07,Serbia,Bor wind farm,--,,,1500,Onshore,announced,,,,,Zijin Mining Group Co Ltd; Shanghai Fengling Renewable,紫金矿业集团股份有限公司,True,44.0355,22.1309,approximate,,,,,Southern Europe,Europe,L100001003762,G100001004316,,,https://www.gem.wiki/Bor_wind_farm
2024/03/09,Serbia,Bradarac wind farm,--,,,225,Onshore,announced,,,,,Greenvolt - Energias Renováveis SA,,,44.6946,21.2572,approximate,Bradarac,,,,Southern Europe,Europe,L100001003834,G100001004404,,,https://www.gem.wiki/Bradarac_wind_farm
2024/03/09,Serbia,Cestobrodica wind farm,2,,,236,Onshore,announced,,,,,Wind Alliance doo Beograd,,,43.908,20.0037,approximate,Čestobrodica,,,,Southern Europe,Europe,L100000914888,G100000919783,,,https://www.gem.wiki/Cestobrodica_wind_farm
2021/05/18,Serbia,Cibuk wind farm,1,,,158,Onshore,operating,2019,,,,Masdar Taalari Generation d.o.o Beograd,,,44.9427,20.9334,exact,Dolovo,,,,Southern Europe,Europe,L100000915911,G100000919660,,,https://www.gem.wiki/Cibuk_wind_farm
2024/03/07,Serbia,Elicio Wind 01 wind farm,--,,,50,Onshore,announced,,,,,Elicio Wind,,,44.9063,20.7242,approximate,Pancevo,,,,Southern Europe,Europe,L100001003769,G100001004329,,,https://www.gem.wiki/Elicio_Wind_01_wind_farm
2024/03/08,Serbia,Gornjak wind farm,--,,,150,Onshore,announced,2027,,Windflow East,,SunFlow Holdings LLC ; Vulcanus Enerji Yatirim AS,,,44.3753,21.4019,approximate,Petrovac,,Braničevo District,,Southern Europe,Europe,L100000920708,G100000925517,,,https://www.gem.wiki/Gornjak_wind_farm
2024/03/08,Serbia,Grot and Oblik wind farm,--,,,60,Onshore,announced,2026,,Windflow West,,SunFlow Holdings LLC ; Vulcanus Enerji Yatirim AS,,,42.5779,21.9044,approximate,Vranje,,,,Southern Europe,Europe,L100000920709,G100000925518,,,https://www.gem.wiki/Grot_and_Oblik_wind_farm
2024/03/09,Serbia,Jasikovo wind farm,--,,,70,Onshore,announced,,,,,Jasikovo doo Belgrade,,,44.4335,21.9915,approximate,Majdanpek,,,,Southern Europe,Europe,L100001003836,G100001004406,,,https://www.gem.wiki/Jasikovo_wind_farm
2023/01/12,Serbia,Kosava wind farm,1,Ветроелектрана Кошава,,69,Onshore,operating,2019,,,,MK Fintel Wind,,,44.9842,21.1742,exact,,,,Vojvodina,Southern Europe,Europe,L100000914704,G100000919052,,,https://www.gem.wiki/Kosava_wind_farm
2021/05/18,Serbia,Kovacica wind farm,1,,Blacksmith,105,Onshore,operating,2019,,,,Enlight Renewable Energy,,,45.06,20.657,exact,Kovačica,,,Vojvodina,Southern Europe,Europe,L100000915665,G100000919447,,,https://www.gem.wiki/Kovacica_wind_farm
2024/05/10,Serbia,Krivača wind farm,--,,"Golubac, Krivaca wind farm",105.6,Onshore,operating,2024,,,,IVICOM Energy,,,44.5958,21.6699,exact,,,,,Southern Europe,Europe,L100000915726,G100000919436,,,https://www.gem.wiki/Krivača_wind_farm
2023/01/12,Serbia,Kula wind farm,1,,,10,Onshore,operating,,,,,MK Fintel Wind,,,45.6426,19.5837,exact,,,,,Southern Europe,Europe,L100000920711,G100000925520,,,https://www.gem.wiki/Kula_wind_farm
2024/05/06,Serbia,Kula wind farm,3,Lipar,,10,Onshore,announced,,,,,MK Fintel Wind,,,45.6426,19.5837,approximate,Kula,,,,Southern Europe,Europe,L100000920711,G100000925522,,,https://www.gem.wiki/Kula_wind_farm
2024/03/08,Serbia,Kula wind farm,4,Lipar 2,,10,Onshore,announced,,,,,MK Fintel Wind,,,45.6426,19.5837,approximate,Kula,,,,Southern Europe,Europe,L100000920711,G100000925523,,,https://www.gem.wiki/Kula_wind_farm
2024/03/08,Serbia,Lederata Energy wind farm,--,,,100,Onshore,announced,2027,,,,CWP Global,,,44.6155,21.1761,approximate,Požarevac,,Braničevo District,,Southern Europe,Europe,L100000920712,G100000925524,,,https://www.gem.wiki/Lederata_Energy_wind_farm
2024/03/09,Serbia,Mozgovo wind farm,--,,,150,Onshore,announced,,,,,Greenvolt - Energias Renováveis SA,,,43.6828,21.6644,approximate,Mozgovo,,,,Southern Europe,Europe,L100001003835,G100001004405,,,https://www.gem.wiki/Mozgovo_wind_farm
2024/03/07,Serbia,Nadel 1 wind farm,--,,,10,Onshore,announced,,,,,Elicio Wind,,,44.8223,20.7479,approximate,Starčevo,,,,Southern Europe,Europe,L100001003774,G100001004330,,,https://www.gem.wiki/Nadel_1_wind_farm
2024/03/07,Serbia,Samos wind farm,1,,,420,Onshore,announced,,,,,WV International,,,45.2611,19.9199,approximate,,,,,Southern Europe,Europe,L100001003764,G100001004318,,,https://www.gem.wiki/Samos_wind_farm
2024/03/07,Serbia,Samos wind farm,2,,,468,Onshore,announced,,,,,WV International,,,45.2611,19.9199,approximate,,,,,Southern Europe,Europe,L100001003764,G100001004319,,,https://www.gem.wiki/Samos_wind_farm
2024/03/09,Serbia,Stiško Polje wind farm,1,Стишко поље,,500,Onshore,announced,,,,,Elektroprivreda Srbije Beograd AD,Акционарско друштво „Електропривреда Србије“,,44.712,21.195,approximate,Kostolac,,,,Southern Europe,Europe,L100001003832,G100001004401,,,https://www.gem.wiki/Stiško_Polje_wind_farm
2024/03/09,Serbia,Stiško Polje wind farm,2,Стишко поље,,500,Onshore,announced,,,,,Elektroprivreda Srbije Beograd AD,Акционарско друштво „Електропривреда Србије“,,44.712,21.195,approximate,Kostolac,,,,Southern Europe,Europe,L100001003832,G100001004402,,,https://www.gem.wiki/Stiško_Polje_wind_farm
2024/03/07,Serbia,Vetrozelena wind farm,--,,Pancevo Wind,300,Onshore,announced,2025,,,,Power Construction Corporation of China Ltd ; CWP Global,中国电力建设股份有限公司,,44.8861,20.7594,approximate,Pancevo,,,,Southern Europe,Europe,L100000920717,G100000925529,,,https://www.gem.wiki/Vetrozelena_wind_farm
2024/01/10,Slovenia,Golič wind farm,1,,,90,Onshore,announced,2027,,,,E-Grus,,,45.5316,13.7061,approximate,,,,,Southern Europe,Europe,L100001000316,G100001000532,,,https://www.gem.wiki/Golič_wind_farm
